4880	敢
4877	前
4875	貴
4870	易
4858	史
4851	勝
4847	皇
4822	求
4815	即
4794	說
4748	金
4737	弟
4736	左
4714	起
4703	會
4681	實
4661	定
4618	衛
4601	通
4586	母
4567	石
4538	田
4487	尉
4457	既
4443	兮
4436	擊
4428	合
4427	宮
4408	對
4389	吳
4370	光
4367	河
4362	和
4334	白
4308	好
4281	乘
4266	戰
4264	猶
4237	哉
4235	難
4212	稱
4192	屬
4168	魏
4146	意
4137	凡
4131	風
4115	攻
4114	宜
4106	聽
4091	終
4060	遠
4047	宗
4027	仁
4019	陵
4013	盡
4009	異
3987	木
3976	等
3973	進
3962	傳
3938	拜
3933	節
3918	初
3895	甚
3873	都
3870	衣
3826	力
3825	告
3812	本
3806	止
3769	誅
3754	古
3742	坐
3735	賜
3731	鄭
3730	制
3728	降
3712	辭
3699	度
3697	尚
3623	學
3615	興
3592	各
3564	耳
3563	變
3563	韓
3561	敗
3554	張
3551	疾
3550	處
3547	獨
3525	廣
3524	益
3519	應
3516	仲
3502	還
3491	詔
3488	謀
3476	絕
3475	室
3461	魯
3447	往
3439	越
3437	土
3436	動
3425	海
3399	執
3398	教
3394	觀
3392	邑
3386	姓
3382	己
3373	刑
3369	宋
3355	尊
3350	兩
3349	邪
3342	詩
3340	卿
3329	叔
3322	寡
3300	夷
3277	害
3268	固
3256	御
3247	形
3234	弗
3228	建
3223	愛
3219	致
3215	冬
3178	章
3169	傷
3169	化
3154	梁
3132	老
3126	祭
3109	經
3099	爵
3090	流
3083	敬
3081	首
3078	燕
3072	由
3061	桓
3045	奉
3038	忠
3018	共
3012	志
3005	徒
3004	視
3000	破
2978	任
2966	威
2966	火
2960	祖
2958	憂
2953	奴
2952	縣
2934	昭
2933	免
2926	群
2913	色
2909	寒
2903	虛
2901	更
2897	怒
2884	騎
2879	次
2850	口
2834	遣
2810	代
2810	加
2806	州
2793	喪
2785	湯
2780	望
2777	久
2775	富
2770	思
2770	順
2761	升
2748	戶
2712	間
2674	酒
2672	甲
2663	廟
2663	嘗
2653	滅
2650	願
2649	關
2647	召
2646	比
2623	論
2612	良
2612	客
2586	美
2583	除
2580	恐
2580	置
2577	嗣
2575	理
2572	宣
2566	星
2566	丞
2553	賞
2535	惠
2535	盛
2533	語
2531	深
2529	直
2520	智
2518	患
2512	計
2507	雨
2504	鄉
2500	舍
2498	養
2498	微
2498	危
2497	離
2497	象
2496	厚
2493	祿
2487	哀
2478	禍
2477	面
2475	兄
2475	目
2475	玉
2471	賊
2459	匈
2441	解
2431	季
2428	臨
2410	景
2409	遷
2405	逆
2398	飲
2398	布
2389	云
2384	輕
2384	龍
2382	婦
2372	許
2366	議
2363	府
2362	脈
2355	福
2344	薨
2338	穀
2336	射
2334	爭
2316	幸
2316	備
2313	昔
2307	列
2306	妻
2300	商
2293	豈
2289	私
2289	怨
2289	強
2286	刺
2285	交
2282	郎
2281	極
2273	近
2273	葬
2271	牛
2266	藏
2266	積
2265	喜
2262	獻
2261	申
2260	情
2258	夜
2250	丘
2237	江
2233	廢
2232	吉
2227	惟
2222	性
2211	孟
2211	奏
2194	單
