oj 哀,埃
kuwng 公,功,攻,工
kwaeng 觥
kwong 肱,𠃋
kjowngX 拱,鞏,廾,拲,𢀜,𠬞
gjowngH 共
kuwngH 貢,贛
kuw 句,拘,鉤,溝,勾,篝
kuwX 苟,狗,垢,茍,耇,耉
kuwH 句,購,媾,彀,覯,冓
xuwH 訽
ku 孤,姑,觚,沽,呱,罛,軱,菇
kuX 古,鼓,賈,股,蠱,瞽,詁,沽,羖,鼔,牯,𠑹
kuwk 穀,谷,轂
kwot 骨,汩
kuH 故,固,顧,錮,雇,痼
kwae 瓜,蝸,騧
kwaet 刮
kwat 𠯑
kweat 劀
kwaeX 寡,咼,冎
kweaH 卦,挂,絓,掛,𦫳
kweaj 乖,𠦬
kwaejH 夬,獪
kweajH 怪,壞
kwaen 關
kwaenH 慣,倌,串,摜
kwan 官,觀,冠,貫,棺,毌,莞
kwean 鰥,綸
kwanX 管,筦,痯
kwanH 觀,冠,灌,貫,館,盥,雚,祼,鸛
kwang 光
kwangX 廣
kwangH 廣
kjuw 龜,鳩
kjw+j 歸
kjwe 媯
kjwie 規
kwej 圭
kwij 龜
kwoj 瑰
kjw+jX 鬼
kjweX 詭
kjwijX 癸
kwijX 軌,簋
gjweX 跪
gwijH 匱,饋,餽,蕢,櫃,㬰
kjw+jH 貴
kjwejH 劌,撅,蹷
kwajH 會,膾,澮,巜,襘,檜,鬠
kwak 郭,槨,椁,𩫖
kwaek 虢
kweak 馘
kwok 國
kwaX 果,裹,蜾
kwaH 過
hae 瑕,遐,蝦,霞,騢
heaj 骸,諧,湝
hoj 孩
xojX 海
hajH 害
heajX 駭
hojX 亥
ham 邯,酣
han 韓,寒,邯
hom 含,函,唅,圅,涵
homH 含,憾
xanX 罕,厂,暵
hanX 旱
hanH 汗,扞,翰,捍
homX 頷,𣐺
hwaenX 莞,睅
xanH 漢,厂,暵
hang 行,杭
xaw 蒿,薅,茠
haw 號,豪,毫,鯈
hawH 號,号
xawX 好
hawX 浩,灝
xawH 好,藃
xa 苛,呵,訶
xop 欱
ha 何,河,苛,荷
hap 蓋,盍
hat 曷,褐
heak 核,覈,騞
hojH 劾
hok 劾
hop 合
hot 齕
hwa 和,禾
haX 荷
haH 賀
haewk 學,鶴,翯,鷽
hak 鶴,涸
howk 鵠,隺
hwaH 和
xaek 赫,嚇
xak 壑
xok 黑
